word,meaning
exhibit,an instance of exhibiting.
grapes,a small round smoothskinned edible fruit usually purple red or green that grows in bunches on vines of genus vitis.
king,a male monarch a man who heads a monarchy. if its an absolute monarchy then he is the supreme ruler of his nation.
cone,a surface of revolution formed by rotating a segment of a line around another line that intersects the first line.
case,an actual event situation or fact.
providing,to make a living earn money for necessities.
blanket,a heavy loosely woven fabric usually large and woollen used for warmth while sleeping or resting.
nail,the thin horny plate at the ends of fingers and toes on humans and some other animals.
reading,to look at and interpret letters or other information that is written.
numerically,in a numerical manner.
roads,a way used for travelling between places originally one wide enough to allow foot passengers and horses to travel now us usually one surfaced with asphalt or concrete and designed to accommodate many vehicles travelling in both directions. in the uk both senses are heard a country road is the same as a country lane.
folding,to bend any thin material such as paper over so that it comes in contact with itself.
provide,to make a living earn money for necessities.
illicit,a banned or unlawful item.
monastic,a person with monastic ways a monk.
scope,the breadth depth or reach of a subject a domain.
deals,a division a portion a share.
demeanor,the social nonverbal behaviours such as body language and facial expressions that are characteristic of a person.
body,physical frame.
spent,to pay out money.
participated,to join in to take part to involve oneself in something.
experience,the effect upon the judgment or feelings produced by any event whether witnessed or participated in personal and direct impressions as contrasted with description or fancies personal acquaintance actual enjoyment or suffering.
stock,a store or supply.
informed,to instruct train usually in matters of knowledge.
relating,to tell in a descriptive way.
rectitude,straightness the state or quality of having a constant direction and not being crooked or bent.
keys,an object designed to open and close a lock.
mental,of or relating to the mind or an intellectual process.
herbaceous,not woody lacking lignified tissues.
afraid,usually used predicatively not attributively be afraid impressed with fear or apprehension in fear.
restrain,to control or keep in check.
qualifying,to describe or characterize something by listing its qualities.
plants,an organism that is not an animal especially an organism capable of photosynthesis. typically a small or herbaceous organism of this kind rather than a tree.
perturb,to disturb to bother or unsettle.
consume,to use up.
mankind,the human race in its entirety.
secrets,a piece of knowledge that is hidden and intended to be kept hidden.
graphic,a drawing or picture.
welfare,health safety happiness and prosperity wellbeing in any respect.
vines,the climbing plant that produces grapes.
shrivel,to collapse inward to crumble.
greener,having green as its color.
precise,nnes or european union documents to make or render precise to specify.
doctor,a physician a member of the medical profession one who is trained and licensed to heal the sick or injured. the final examination and qualification may award a doctor degree in which case the postnominal letters are d.o. dpm m.d. dmd dds in the us or mbbs in the uk.
definition,a statement of the meaning of a word or word group or a sign or symbol dictionary definitions.
operation,the method by which a device performs its function.
beforehand,in comfortable circumstances as regards property forehanded.
defensive,a means attitude or position of defense.
converse,free verbal interchange of thoughts or views conversation chat.
while,an uncertain duration of time a period of time.
lowest,situated close to or even below the ground or another normal reference plane not high or lofty.
unnamed,not having a name.
empty,usually plural a container especially a bottle whose contents have been used up leaving it empty.
roots,the part of a plant generally underground that anchors and supports the plant body absorbs and stores water and nutrients and in some plants is able to perform vegetative reproduction.
happen,to occur or take place.
restores,to reestablish or bring back into existence.
crops,a plant especially a cereal grown to be harvested as food livestock fodder or fuel or for any other economic purpose.
ends,the terminal point of something in space or time.
beginning,the act of doing that which begins anything commencement of an action state or space of time entrance into being or upon a course the first act effort or state of a succession of acts or states.
catches,the act of seizing or capturing.
excluding,to bar someone from entering to keep out.
facial,a personal care beauty treatment which involves cleansing and moisturizing of the human face.
clinical,a medical students session spent in a realworld nursing environment.
formal,formalin.
tempo,a frequency or rate.
uncertainty,doubt the condition of being uncertain or without conviction.
alphabetically,manner in an alphabetical manner.
aboriginal,an aboriginal inhabitant of australia aborigine.
moths,a small particle a speck.
customs,in the plural the duties or taxes imposed on imported or exported goods.
attitude,the position of the body or way of carrying oneself.
considerable,a thing to be considered consideration.
missile,any object used as a weapon by being thrown or fired through the air such as stone arrow or bullet.
misfortune,bad luck
teach,to show someone the way to guide conduct to point indicate.
block,a substantial often approximately cuboid piece of any substance.
cultural,pertaining to culture.
choices,an option a decision an opportunity to choose or select something.
interests,the price paid for obtaining or price received for providing money or goods in a credit transaction calculated as a fraction of the amount or value of what was borrowed.
concepts,an abstract and general idea an abstraction.
sunrise,the time of day when the sun appears above the eastern horizon.
thigh,the upper leg of a human between the hip and the knee.
recently,in the recent past
ceasing,to stop.
e.g.,an example.
adjuncts,an appendage something attached to something else in a subordinate capacity.
cuboid,the cuboid bone.
rungs,a crosspiece forming a step of a ladder a round.
news,new information of interest.
stance,the manner pose or posture in which one stands.
somewhat,more or less a certain quantity or degree a part more or less something.
transporting,to carry or bear from one place to another to remove to convey.
possibly,modifying a clause or predicate perhaps indicates that the proposition may be true is not certainly false regardless of any facts or circumstances known to stated by or implied by the speaker.
molten,to change or to be changed from a solid state to a liquid state usually by a gradual heat.
yield,to pay give in payment repay recompense reward requite.
swab,a small piece of soft absorbent material such as gauze used to clean wounds apply medicine or take samples of body fluids. often attached to a stick or wire to aid access.
on,to switch on
jet,a collimated stream spurt or flow of liquid or gas from a pressurized container an engine etc.
disposable,any object that is designed to be disposed of rather than refilled or repaired.
claims,a demand of ownership made for something.
award,a judgment sentence or final decision. specifically the decision of arbitrators in a case submitted.
dot,a small round spot.
motorized,to fit something with a motor.
settled,to conclude or resolve something
such,something being indicated that is similar to something else.
open,not closed
dextrorotatory,of an optically active compound or crystal that rotates the plane of polarized light to the right or clockwise.
jerk,a sudden often uncontrolled movement especially of the body.
alleged,to state under oath to plead.
strawberries,the sweet usually red edible fruit of certain plants of the genus fragaria.
bodies,physical frame.
currency,money or other items used to facilitate transactions.
plug,a pronged connecting device which fits into a mating socket especially an electrical one.
since,from a specified time in the past.
loose,the release of an arrow.
item,a distinct physical object.
malfunction,faulty functioning
poetry,literature composed in verse or language exhibiting conscious attention to patterns and rhythm.
mobile,a kinetic sculpture or decorative arrangement made of items hanging so that they can move independently from each other.
test,a challenge trial.
deserts,usually in the plural that which is deserved or merited a just punishment or reward
embodied,to represent in a physical or concrete form to incarnate or personify.
spin,rapid circular motion.
slats,a thin narrow strip or bar of wood lath or metal.
surmise,thought imagination or conjecture which may be based upon feeble or scanty evidence suspicion guess.
filaments,a fine thread or wire.
cage,an enclosure made of bars normally to hold animals.
surrounding,to encircle something or simultaneously extend in all directions.
class.,the act of forming into a class or classes a distribution into groups as classes orders families etc. according to some common relations or attributes.
germinating,of a seed to begin to grow to sprout roots and leaves.
blunt,a fencers practice foil with a soft tip.
acetic,of pertaining to or producing vinegar
vigilant,watchful especially for danger or disorder alert wary
technology,the organization of knowledge for practical purposes.
dynamically,of a dynamic nature variable or constantly changing nature.
sweet,the basic taste sensation induced by sugar.
achromatic,free from color transmitting light without colorrelated distortion.
detailed,to explain in detail.
communications,the act or fact of communicating anything transmission.
in,a position of power or influence or a way to get it.
prohibiting,to forbid disallow or proscribe officially to make illegal or illicit.
monthly,a publication that is published once a month.
wool,the hair of the sheep llama and some other ruminants.
easy,something that is easy
procure,to acquire or obtain.
habitually,by habit in a habitual manner.
networks,a fabric or structure of fibrous elements attached to each other at regular intervals.
stacked,to arrange in a stack or to add to an existing stack.
metabolism,the chemical processes that occur within a living organism in order to maintain life.
si,a syllable used in solfège to represent the seventh note of a major scale.
parliament,a formal council summoned especially by a monarch to discuss important issues.
disbelief,unpreparedness unwillingness or inability to believe that something is the case.
knowing,to perceive the truth or factuality of to be certain of or that.
partner,someone who is associated with another in a common activity or interest.
flavor,the quality produced by the sensation of taste or especially of taste and smell in combined effect.
health,the state of being free from physical or psychological disease illness or malfunction wellness.
ash,the solid remains of a fire.
acute,a person who has the acute form of a disorder such as schizophrenia.
dna,the part of a living being that carries genetic information.
nonreligious,not religious secular
incapable,one who is morally or mentally weak or inefficient an imbecile a simpleton.
across,crosswords often in combination a word that runs horizontally in the completed puzzle grid or its associated clue.
community,a group sharing a common understanding and often the same language law manners andor tradition.
date,the fruit of the date palm phoenix dactylifera somewhat in the shape of an olive containing a soft sweet pulp and enclosing a hard kernel.
woody,an early station wagon or estate car in which the rear portion of the cars bodywork is made of wood often associated with southern california surfing culture.
lighting,to start a fire.
deity,a supernatural divine being a god or goddess.
causing,to set off an event or action.
through,a large slab of stone laid in a drystone wall from one side to the other a perpend.
sloped,to tend steadily upward or downward.
disks,a thin flat circular plate or similar object.
trees,fast growing function based on kruskals tree theorem.
toes,each of the five digits on the end of the foot.
officer,one who has a position of authority in a hierarchical organization especially in military police or government organizations.
mast,a tall slim post or tower usually tapering upward used to support for example the sails on a ship flags floodlights meteorological instruments or communications equipment such as an aerial usually supported by guywires.
literally,word for word not figuratively not as an idiom or metaphor
chronic,marijuana typically of high quality.
bed,a piece of furniture usually flat and soft on which to rest or sleep.
biologically,in a biological manner
cancelling,to cross out something with lines etc.
those,demonstrative the thing person idea quality event action or time indicated or understood from context especially if more remote geographically temporally or mentally than one designated as this or if expressing distinction.
refusal,the act of refusing.
constituent,a part or component of a whole
incident,an event or occurrence.
judgment,the act of judging.
false,one of two options on a trueorfalse test.
represented,to present again or anew to present by means of something standing in the place of to exhibit the counterpart or image of to typify.
preference,the selection of one thing or person over others with the main adposition being for in relation to the thing or person but possibly also of
metaphoric,like a metaphor.
doubled,to multiply by two.
shine,brightness from a source of light.
dart,a pointed missile weapon intended to be thrown by the hand for example a short lance or javelin
excavation,the act of excavating or of making hollow by cutting scooping or digging out a part of a solid mass.
replication,the process by which an object person place or idea may be copied mimicked or reproduced.
gummy,a sheep that is losing or has lost its teeth.
consumed,to use up.
closed,physical to remove a gap.
buffaloes,any of the old world mammals of the family bovidae such as the cape buffalo syncerus caffer or the water buffalo bubalus bubalis.
prosperous,characterized by success
hemisphere,half of the celestial sphere as divided by either the ecliptic or the celestial equator .
style,senses relating to a thin pointed object.
gyrate,to revolve round a central point to move spirally about an axis as a tornado to revolve.
transmission,the act of transmitting e.g. data or electric power.
singing,to produce musical or harmonious sounds with ones voice.
forearm,the part of the arm between the wrist and the elbow.
goods,the forces or behaviours that are the enemy of evil. usually consists of helping others and general benevolence.
welcoming,hospitable accessible and cordial.
closet,any private area particularly bowers in the open air.
collecting,to gather together amass.
bag,a flexible container made of cloth paper plastic etc.
executed,to kill as punishment for capital crimes.
angular,a bone in the base of the lower jaw of many birds reptiles and fishes.
citrus,any of several shrubs or trees of the genus citrus in the family rutaceae.
combined,an event in alpine skiing which combines runs on a downhill skiing course and a slalom course for individual skiers.
repay,to pay back.
antagonize,to work against to oppose especially to incite reaction
disallowing,to refuse to allow
title,a prefix honorific or suffix postnominal added to a persons name to signify either veneration official position or a professional or academic qualification. see also
based,to give as its foundation or starting point to lay the foundation of.
ten,a set or group with ten elements.
plot,authorship the course of a story comprising a series of incidents which are gradually unfolded sometimes by unexpected means.
according,to make to agree or correspond to suit one thing to another to adjust.
holder,a thing that holds.
taxes,money paid to the government other than for transactionspecific goods and services.
given,ditransitive to move shift provide something abstract or concrete to someone or something or somewhere.
multitude,a great amount or number often of people abundance myriad profusion.
foreign,a foreign person particularly
conceding,to yield or suffer to surrender to grant
personified,to be an example of to have all the attributes of.
fear,a strong uncontrollable unpleasant emotion or feeling caused by actual or perceived danger or threat.
propositions,the act of offering an idea for consideration.
rainfall,the amount of rain that falls on a single occasion
team,a set of draught animals such as two horses in front of a carriage.
utensil,an instrument or device for domestic use especially in the kitchen.
letting,to allow to not to prevent  infinitive but usually without to.
rooted,to grow roots to enter the earth as roots to take root and begin to grow.
caramelized,to convert sugar into caramel.
though,despite that however.
desired,to want to wish for earnestly.
about,moving around astir.
wheel,a circular device capable of rotating on its axis facilitating movement or transportation or performing labour in machines.
nostrils,either of the two orifices located on the nose or on the beak of a bird used as a passage for air and other gases to travel the nasal passages.
sacred,characterized by solemn religious ceremony or religious use especially in a positive sense consecrated made holy.
overstrain,excessive strain
way,heading to do with a place or places.
incised,to cut in or into with a sharp instrument to carve to engrave.
rare,a scarce or uncommon item.
partiality,preference bias in favor of tendency.
accompanied,having accompaniment being part of a group of at least two.
voices,sound uttered by the mouth especially by human beings in speech or song sound thus uttered considered as possessing some special quality or character
highly,in a high or esteemed manner.
bulbs,any solid object rounded at one end and tapering on the other possibly attached to a larger object at the tapered end.
volition,a conscious choice or decision.
many,a multitude a great aggregate a mass of people the generality the common herd.
impedes,to get in the way of to hinder.
compressing,to make smaller to press or squeeze together or to make something occupy a smaller space or volume.
brooches,a piece of womens ornamental jewellery having a pin allowing it to be fixed to garments worn on the upper body.
thinking,thought gerund of think.
annoyance,that which annoys.
pipes,meanings relating to a wind instrument.
comparable,something suitable for comparison.
prone,lying face downward.
equilateral,a side exactly corresponding or equal to others.
phosphoric,of or pertaining to phosphorus.
takeoff,the rising or ascent of an aircraft or rocket into flight.
person,an individual usually a human being.
detriment,harm hurt damage.
kill,the act of killing.
favored,to look upon fondly to prefer.
critical,a critical value factor etc.
considered,to think about seriously.
upside,the highest or uppermost side or portion of something
arising,to come up from a lower to a higher position.
sours,the sensation of a sour taste.
web,the world wide web.
annoying,to disturb or irritate especially by continued or repeated acts to bother with unpleasant deeds.
familiarity,the state of being extremely friendly intimacy.
messaging,to send a message to to transmit a message to e.g. as text via a cell phone.
continental,someone from the continent.
impose,to establish or apply by authority.
comparatively,in a comparative manner.
exhaling,to expel air from the lungs through the nose or mouth by action of the diaphragm to breathe out.
agent,one who exerts power or has the power to act
entitling,to give a title to.
poor,with the those who have little or no possessions or money taken as a group.
acquainted,followed by with to furnish or give experimental knowledge of to make one to know to make familiar.
controlling,to exercise influence over to suggest or dictate the behavior of.
happening,to occur or take place.
purified,made or rendered pure or more pure.
said,mentioned earlier aforesaid.
hip,the outwardprojecting parts of the pelvis and top of the femur and the overlying tissue.
rises,to move or appear to move physically upwards relative to the ground.
genuine,belonging to or proceeding from the original stock native
outlying,a region relatively remote from a central location.
condensed,to concentrate toward the essence by making more close compact or dense thereby decreasing size or volume.
dark,having an absolute or more often relative lack of light.
embodies,to represent in a physical or concrete form to incarnate or personify.
merited,to deserve to earn.
women,an adult female human.
watches,a portable or wearable timepiece.
furniture,large movable items usually in a room which enhances the rooms characteristics functionally or decoratively.
one,the digit or figure 1.
guide,someone who guides especially someone hired to show people around a place or an institution and offer information and explanation.
canvas,a type of coarse cloth woven from hemp useful for making sails and tents or as a surface for paintings.
constitutes,to set up to establish to enact.
contributing,to give something that is or becomes part of a larger whole.
useless,without use or possibility to be used.
heart,a muscular organ that pumps blood through the body traditionally thought to be the seat of emotion.
byproducts,a secondary product something made incidentally during the production of something else.
transactions,the act of conducting or carrying out business negotiations plans.
wear,in combination clothing
distinctive,a distinctive thing a quality or property permitting distinguishing a characteristic.
belongs,to have its proper place.
man,an adult male human.
necessarily,inevitably of necessity.
tail,the caudal appendage of an animal that is attached to its posterior and near the anus.
curdled,to form curds so that it no longer flows smoothly to cause to form such curds. usually said of milk
deception,an instance of actions andor schemes fabricated to mislead someone into believing a lie or inaccuracy.
rigid,a bicycle with no suspension system.
affirmation,that which is affirmed a declaration that something is true.
pile,a mass of things heaped together a heap.
games,a playful or competitive activity.
attacked,to apply violent force to someone or something.
geographically,in terms of geography.
efficient,a cause something that causes an effect
walking,to move on the feet by alternately setting each foot or pair or group of feet in the case of animals with four or more feet forward with at least one foot on the ground at all times. compare run.
fully,in a full manner without lack or defect.
join,an intersection of piping or wiring an interconnect.
oxidize,to combine with oxygen or otherwise make an oxide.
faeces,digested waste material typically solid or semisolid discharged from the bowels excrement.
instinct,a natural or inherent impulse or behaviour.
black,the colourcolor perceived in the absence of light but also when no light is reflected but rather absorbed.
personnel,employees office staff.
pool,a small and rather deep collection of usually fresh water as one supplied by a spring or occurring in the course of a stream a reservoir for water.
secret,a piece of knowledge that is hidden and intended to be kept hidden.
step,an advance or movement made from one foot to the other a pace.
stem,the stock of a family a race or generation of progenitors.
pigment,any color in plant or animal cells
wings,an appendage of an animals bird bat insect body that enables it to fly a similar fin at the side of a ray or similar fish
freedom,the state of being free of not being imprisoned or enslaved.
seize,to deliberately take hold of to grab or capture.
especially,manner in a special manner specially.
defences,the action of defending of protecting from attack danger or injury.
slant,a slope an incline inclination.
decide,to resolve a contest problem dispute etc. to choose determine or settle
thermal,a column of rising air in the lower atmosphere created by uneven heating of earths surface.
sunset,the time of day when the sun disappears below the western horizon.
modal,a modal proposition.
whose,interrogative that or those of whom or belonging to whom.
soap,a substance able to mix with both oil and water used for cleaning often in the form of a solid bar or in liquid form derived from fats or made synthetically.
tattooing,to apply a tattoo to someone or something.
reign,the exercise of sovereign power.
desire,someone or something wished for.
heritage,an inheritance property that may be inherited.
portraiture,a portrait a likeness a painted resemblance hence that which is copied from some example or model.
spot,a round or irregular patch on the surface of a thing having a different color texture etc. and generally round in shape.
posture,the way a person holds and positions their body.
quilted,to construct a quilt.
shapeless,without a clearly defined or identifiable shape
outflow,the process of flowing out
scientist,one whose activities make use of the scientific method to answer questions regarding the measurable universe. a scientist may be involved in original research or make use of the results of the research of others.
bulk,size specifically volume.
publication,the act of publishing printed or other matter.
grain,the harvested seeds of various grass food crops eg wheat corn barley.
societies,a longstanding group of people sharing cultural aspects such as language dress norms of behavior and artistic forms.
rotation,the act of turning around a centre or an axis.
books,a collection of sheets of paper bound together to hinge at one edge containing printed or written material pictures etc.
idiom,a manner of speaking a mode of expression peculiar to a language person or group of people.
digital,a digital option.
obstacles,something that impedes stands in the way of or holds up progress
reddened,to become red or redder.
sharing,to give part of what one has to somebody else to use or consume.
pouch,a small bag usually closed with a drawstring.
size,obsolete outside dialectal an assize.
preparation,the act of preparing or getting ready.
thorax,the region of the mammalian body between the neck and abdomen as well as the cavity containing the heart and lungs.
contamination,the act or process of contaminating
pinot,any of several grape varieties grown in europe and north america.
corps,a battlefield formation composed of two or more divisions.
cacao,a tree theobroma cacao whose seed is used to make chocolate.
agree,to harmonize in opinion statement or action to be in unison or concord to be or become united or consistent to concur.
intended,usually followed by the particle to to hope to wish something or something to be accomplished be intent upon
pretence,an act of pretending or pretension a false claim or pretext.
proscribe,to forbid or prohibit.
onerous,imposing or constituting a physical mental or figurative load which can be borne only with effort burdensome.
converts,a person who has converted to a religion.
servant,one who is hired to perform regular household or other duties and receives compensation. as opposed to a slave.
companions,a friend acquaintance or partner someone with whom one spends time or keeps company
alternately,in reciprocal succession succeeding by turns in alternate order.
colleges,a corporate group a group of colleagues.
mislead,to lead astray in a false direction.
polyrhythms,music with multiple rhythmic elements played simultaneously.
ovules,the structure in a plant that develops into a seed after fertilization the megasporangium of a seed plant with its enclosing integuments.
figure,a drawing or diagram conveying information.
pendant,a supporting post attached to the main rafter.
juice,a liquid from a plant especially fruit.
greater,relatively large in scale size extent number i.e. having many parts or members or duration i.e. relatively long very big.
silica,silicon dioxide.
usual,the typical state of something or something that is typical.
suborder,a taxonomic category below order and above infraorder.
somebody,a recognised or important person a celebrity.
sliding,to cause to move in continuous contact with a surface
civil,having to do with people and government office as opposed to the military or religion.
explicitly,in an explicit manner.
creator,something or someone which creates or makes something.
augment,grammar in some indoeuropean languages a prefix e a in sanskrit indicating a past tense of a verb.
capable,able and efficient having the ability needed for a specific task having the disposition to do something permitting or being susceptible to something.
final,a final examination a test or examination given at the end of a term or class the test that concludes a class.
identical,usually pluralized something which has exactly the same properties as something else.
void,an empty space a vacuum.
map,a visual representation of an area whether real or imaginary.
laying,to place down in a position of rest or in a horizontal position.
console,a standalone cabinet designed to stand on the floor especially one that houses home entertainment equipment such as a tv or stereo system.
indexed,to arrange an index for something especially a long text.
acting,to do something.
monomers,a relatively small molecule which can be covalently bonded to other monomers to form a polymer.
frigid,very cold lacking warmth icy.
invent,to design a new process or mechanism.
limb,a major appendage of human or animal used for locomotion such as an arm leg or wing.
practices,repetition of an activity to improve a skill.
interrogate,to question or quiz especially in a thorough andor aggressive manner
states,a condition a set of circumstances applying at any given time.
metals,heading chemical elements or alloys and the mines where their ores come from.
resolves,determination will power.
piano,a percussive keyboard musical instrument usually ranging over seven octaves with white and black colored keys played by pressing these keys causing hammers to strike strings
logically,in a logical manner with logic.
doors,a portal of entry into a building room or vehicle consisting of a rigid plane movable on a hinge. doors are frequently made of wood or metal. may have a handle to help open and close a latch to hold the door closed and a lock that ensures the door cannot be opened without the key.
extraordinary,anything that goes beyond what is ordinary.
moments,a brief unspecified amount of time.
refuse,collectively items or material that have been discarded rubbish garbage.
deciding,to resolve a contest problem dispute etc. to choose determine or settle
directly,in a direct manner in a straight line or course.
inheritance,the passing of title to an estate upon death.
refers,to direct the attention of.
insects,an arthropod in the class insecta characterized by six legs up to four wings and a chitinous exoskeleton.
creek,a small inlet or bay often saltwater narrower and extending farther into the land than a cove a recess in the shore of the sea or of a river the inner part of a port that is used as a dock for small boats.
likely,something or somebody considered likely.
suction,a force which pushes matter from one space into another because the pressure inside the second space is lower than the pressure in the first.
discarded,to throw away to reject.
tiny,a small child an infant.
early,a shift scheduled work period that takes place early in the day.
right,straight not bent.
divinity,a supernatural divine being a god or goddess.
assuming,to authenticate by means of belief to surmise to suppose to be true especially without proof
washing,to clean with water.
feculent,dirty with faeces or other impurities
chlorophyll,any of a group of green pigments that are found in the chloroplasts of plants and in other photosynthetic organisms such as cyanobacteria.
change,the process of becoming different.
invested,to spend money time or energy on something especially for some benefit or purpose used with in.
continent,each of the main continuous landmasses on the earths surface now generally regarded as seven in number including their related islands continental shelves etc.
training,to practice an ability.
feathers,a branching hairlike structure that grows on the bodies of birds used for flight swimming protection and display.
attacks,an attempt to cause damage injury to or death of opponent or enemy.
concept,an abstract and general idea an abstraction.
recited,to repeat aloud some passage poem or other text previously memorized or in front of ones eyes often before an audience.
fibreglass,silica based glass extruded into fibers that possess a length at least 1000 times greater than their width.
snakes,a legless reptile of the suborder serpentes with a long thin body and a forkshaped tongue.
vegetative,of or relating to plants especially to their growth.
several,an area of land in private ownership as opposed to common land.
unalterable,incapable of changing or being altered
whipped,to hit with a whip.
amphetamine,proper the racemic freebase of 1phenylpropan2amine an equal parts mixture of levoamphetamine and dextroamphetamine in their pure amine forms.
token,something serving as an expression of something else.
put,a right to sell something at a predetermined price.
metering,to measure with a metering device.
plainly,in a plain manner simply basically.
odd,diminutive an odd number.
drains,a conduit allowing liquid to flow out of an otherwise contained volume a plughole uk
equip,to supply with something necessary in order to carry out a specific action or task to provide with e.g. weapons provisions munitions rigging
variable,something that is variable.
occasionally,on the occasion of something else happening incidentally by the way.
swim,an act or instance of swimming.
matching,to agree to be equal to correspond.
anxiety,an unpleasant state of mental uneasiness nervousness apprehension and obsession or concern about some uncertain event.
car,a wheeled vehicle that moves independently with at least three wheels powered mechanically steered by a driver and mostly for personal transportation.
practiced,skillful proficient knowledgeable or expert as a result of practice
gases,matter in a state intermediate between liquid and plasma that can be contained only if it is fully surrounded by a solid or in a bubble of liquid or held together by gravitational pull it can condense into a liquid or can rarely become a solid directly.
thereof,of this that or it.
excrement,now specifically human and animal solid waste excreted from the bowels feces.
forward,one of the eight players comprising two props one hooker two locks two flankers and one number eight collectively known as the pack whose primary task is to gain and maintain possession of the ball compare back.
lightning,a flash of light produced by shortduration highvoltage discharge of electricity within a cloud between clouds or between a cloud and the earth.
replacement,a person or thing that takes the place of another a substitute.
statements,a declaration or remark.
lipstick,makeup for the lips.
flightless,unable to fly. usually used with birds such as the penguin ostrich and emu.
noble,an aristocrat one of aristocratic blood.
yielding,to pay give in payment repay recompense reward requite.
glistening,of a wet or greasy surface to reflect light with a glittering luster to sparkle coruscate glint or flash.
linseed,the seed of the flax plant which yields linseed oil.
from,used to indicate source or provenance.
released,to let go of to cease to hold or contain.
ground,the surface of the earth as opposed to the sky or water or underground.
dictate,an order or command.
sticking,to cut a piece of wood to be the stick member of a copeandstick joint.
tactics,a maneuver or action calculated to achieve some end.
serial,a work such as a work of fiction published in installments often numbered and without a specified end.
holiday,a day on which a festival religious event or national celebration is traditionally observed.
formally,in a formal manner.
invented,to design a new process or mechanism.
malted,to convert a cereal grain into malt by causing it to sprout by soaking in water and then halting germination by drying with hot air in order to develop enzymes that can break down starches and proteins in the grain.
procured,to acquire or obtain.
fish,a coldblooded vertebrate animal that lives in water moving with the help of fins and breathing with gills.
neutralize,to make even inactive or ineffective.
reel,a shaky or unsteady gait.
integers,a number that is not a fraction an element of the infinite and numerable set ... 3 2 1 0 1 2 3 ....
concentrating,to bring to or direct toward a common center to unite more closely to gather into one body mass or force.
convictions,a firmly held belief.
spinal,a spinal anesthesia.
vehicles,a conveyance a device for carrying or transporting substances objects or individuals.
sold,ditransitive to transfer goods or provide services in exchange for money.
composing,to make something by merging parts.
defined,to determine with precision to mark out with distinctness to ascertain or exhibit clearly.
socially,in a social manner sociably.
difficulty,the state of being difficult or hard to do.
keeping,to continue in a course or mode of action not to intermit or fall from to uphold or maintain.
star,any small luminous dot appearing in the cloudless portion of the night sky especially with a fixed location relative to other such dots.
interrupt,an event that causes a computer or other device to temporarily cease what it was doing and attend to a condition.
ascend,to move upward to fly to soar.
sciences,a particular discipline or branch of learning especially one dealing with measurable or systematic principles rather than intuition or natural ability.
afresh,anew again once more
within,in the context of which the present document or ruling is made.
nor,and not introducing a negative statement without necessarily following one.
box,senses relating to a threedimensional object or space.
detail,something small enough to escape casual notice.
stab,an act of stabbing or thrusting with an object.
racing,to take part in a race in the sense of a contest.
correspondent,someone who or something which corresponds.
opera,a theatrical work combining drama music song and sometimes dance.
sole,a wooden band or yoke put around the neck of an ox or cow in the stall.
filters,a device which separates a suspended dissolved or particulate matter from a fluid solution or other substance any device that separates one substance from another.
husband,the master of a house the head of a family a householder.
dog,a mammal canis familiaris or canis lupus familiaris that has been domesticated for thousands of years of highly variable appearance due to human breeding.
suppose,to take for granted to conclude with less than absolute supporting data to believe.
surrounds,to encircle something or simultaneously extend in all directions.
scheme,a systematic plan of future action.
small,any part of something that is smaller or slimmer than the rest now usually with anatomical reference to the back.
unclear,ambiguous liable to more than one interpretation.
resuming,to take back possession of something.
imperial,a bottle of wine usually bordeaux containing 6 liters of fluid eight times the volume of a standard bottle.
restraining,to control or keep in check.
held,to grasp or grip.
seated,to put an object into a place where it will rest to fix to set firm.
proximity,closeness the state of being near as in space time or relationship.
object,a thing that has physical existence.
using,to utilize or employ.
construct,something constructed from parts.
adequately,in an adequate manner.
something,an object whose nature is yet to be defined.
comment,a spoken or written remark.
create,to bring into existence sometimes in particular
getting,ditransitive to obtain to acquire.
sensitive,a person with a paranormal sensitivity to something that most cannot perceive.
doctor,a physician a member of the medical profession one who is trained and licensed to heal the sick or injured. the final examination and qualification may award a doctor degree in which case the postnominal letters are d.o. dpm m.d. dmd dds in the us or mbbs in the uk.
intermixture,a mass formed by mixture a mass of ingredients mixed.
shipping,the transportation of goods.
unwanted,one who or that which is not wanted an undesirable.
propelled,to provide an impetus for motion or physical action to cause to move in a certain direction to drive forward.
treated,to negotiate discuss terms bargain for or with.
enforce,to keep up impose or bring into effect something not necessarily by force.
deposited,to lay down to place to put.
designed,to plan and carry out a picture work of art construction etc..
soldiers,a member of an army of any rank.
morally,in terms of morals or ethics.
properly,in a proper manner appropriately suitably correctly justifiably
relieve,to ease a person persons thoughts etc. from mental distress to stop someone feeling anxious or worried to alleviate the distress of.
studs,a male animal especially a stud horse stallion kept for breeding.
mark,heading boundary land within a boundary.
enquire,to make an enquiry.
resembling,to be like or similar to something to represent as similar.
additive,a substance added to another substance or product to produce specific properties in the combined substance.
rounded,to shape something into a curve.
band,a strip of material used for strengthening or coupling.
lustrous,having a glow or lustre.
connected,of an object to join to another object to attach or to be intended to attach or capable of attaching to another object.
popular,a person who is popular especially at a school.
focusing,followed by on or upon to concentrate ones attention.
earn,to gain success reward recognition through applied effort or work.
largescale,in the names of fishes having large scales.
sight,in the singular the ability to see.
pitch,a sticky gummy substance secreted by trees sap.
dimensional,of or pertaining to dimensions.
talking,the action of the verb talk.
management,administration the use of limited resources combined with forecasting planning leadership and execution skills to achieve predetermined specific goals.
earnest,gravity serious purpose earnestness.
water,a substance of molecular formula h₂o found at room temperature and pressure as a clear liquid it is present naturally as rain and found in rivers lakes and seas its solid form is ice and its gaseous form is steam.
